username,cluster,total_stars,top_language
torvalds,0,234350,C
karpathy,1,386593,C
yyx990803,0,16365,Rust
gaearon,2,40685,OCaml
peng-zhihui,0,84414,C
ruanyf,2,200986,Shell
sindresorhus,3,622180,C
bradtraversy,2,150359,Svelte
JakeWharton,0,121093,C
rafaballerini,1,20923,Jupyter Notebook
hiteshchoudhary,0,47841,Go
tj,0,121620,C
IDouble,3,4282,C
ThePrimeagen,0,40531,C
geohot,0,23291,C
addyosmani,3,56244,Rich Text Format
getify,3,216172,JavaScript
steipete,3,54729,Shell
krishnaik06,1,40251,Jupyter Notebook
CodeWithHarry,0,20468,C
kamranahmedse,3,447138,Shell
filipedeschamps,2,14524,Shell
antfu,3,45252,Markdown
michaelliao,3,21842,C
midudev,3,52666,Svelte
llSourcell,1,34809,Jupyter Notebook
kunal-kushwaha,1,28858,Jupyter Notebook
adrianhajdin,3,108348,JavaScript
rasbt,1,157810,Jupyter Notebook
JohnMwendwa,3,3344,Markdown
dmalan,0,722,C
taylorotwell,0,1089,Shell
wesbos,2,57023,C
mouredev,3,111494,Java
kentcdodds,3,28798,Shell
ry,0,5648,Rust
diego3g,3,9430,Rust
iamshaunjp,2,21062,PHP
WebDevSimplified,2,16554,JavaScript
paulirish,2,17984,Shell
tiangolo,3,15587,Shell
iam-veeramalla,0,69668,HCL
kennethreitz,3,21675,Jupyter Notebook
StephenGrider,2,30559,Elixir
benawad,3,26798,Svelte
gamemann,3,2714,C
buckyroberts,2,8466,Java
elyxdev,1,138,PHP
hadley,0,14243,C
geerlingguy,3,33824,Groovy
antirez,0,59710,C
jwasham,0,352632,C
gvanrossum,0,2519,C
ProgrammingHero1,2,210,JavaScript
techwithtim,1,6783,Jupyter Notebook
daimajia,1,46991,Java
BEPb,1,5477,C
mrdoob,2,128720,JavaScript
sdras,3,57223,Shell
mojombo,0,14099,C
hkirat,2,10880,Rust
mitsuhiko,0,15929,C
kelseyhightower,0,138057,Open Policy Agent
mdo,2,21574,SCSS
SebLague,1,34439,GLSL
donnemartin,3,438295,Hack
keijiro,0,12234,C
mli,1,41874,Matlab
mbostock,2,4925,JavaScript
tpope,0,107832,VimL
codediodeio,2,6846,Jupyter Notebook
jadijadi,0,9287,Erlang
defunkt,0,37167,C
chiphuyen,1,54370,Jupyter Notebook
douglascrockford,2,12569,C
liyupi,3,56488,Java
MorvanZhou,1,41281,Jupyter Notebook
cloudwu,0,26626,C
brunosimon,2,15537,CSS
JacksonTian,2,24319,JavaScript
kenjinote,0,637,C
xiaolai,0,22434,C
lucast1574,1,201,Jupyter Notebook
mitchellh,0,44010,C
lllyasviel,1,164990,Python
Asabeneh,3,140650,Jupyter Notebook
AlexTheAnalyst,2,5977,Jupyter Notebook
john-smilga,2,20030,HTML
phodal,3,65594,Rich Text Format
developedbyed,2,3368,Lua
angelabauer,1,1148,Jupyter Notebook
Rich-Harris,2,19957,Svelte
loiane,3,10841,SCSS
shiffman,1,3264,Processing
standardgalactic,1,419,TeX
jakevdp,1,55288,C
jeresig,2,6257,Java
mattt,0,18203,C
ggerganov,0,25812,C
chrisbanes,0,35744,C
sandhikagalih,2,5897,Visual Basic 6.0
esin,0,913,C
fchollet,1,36422,Jupyter Notebook
trekhleb,3,255540,MATLAB
AUTOMATIC1111,0,167984,C
t3dotgg,3,11377,Elixir
vczh,0,3080,TypeScript
halfrost,0,50440,C
JeffreyWay,1,3571,Vim script
justjavac,3,177360,MoonBit
ageron,1,72377,Rust
jackfrued,1,195291,Jupyter Notebook
peter-kimanzi,2,1738,Shell
Trinea,2,40633,Java
codingforentrepreneurs,3,9670,HCL
atilsamancioglu,1,4006,Jupyter Notebook
maykbrito,3,4423,Svelte
jlord,2,13837,Rich Text Format
rauchg,2,19773,Shell
spf13,0,105712,VimL
wesm,1,30108,Jupyter Notebook
LeaVerou,2,26759,SCSS
josevalim,2,1342,Elixir
isaacs,3,32798,JavaScript
Ovilia,2,9063,JavaScript
Charles-Chrismann,2,310,TypeScript
onevcat,3,35079,SCSS
OracleBrain,2,833,Java
DIYgod,2,78437,C
gopinav,2,6277,JavaScript
leerob,3,20029,Rust
florinpop17,2,95878,JavaScript
kubowania,2,5170,Jupyter Notebook
ForrestKnight,2,26750,Rust
johnpapa,3,32792,Svelte
mosh-hamedani,2,5025,Java
idimetrix,3,499,JavaScript
in28minutes,3,34378,Java
shadcn,2,2348,JavaScript
astaxie,2,55804,Go
Klerith,2,2580,Java
lydiahallie,3,68638,Go
acdlite,2,35040,JavaScript
eust-w,0,526,Go
matheusbattisti,2,4354,Java
feross,3,27683,C
RubyLouvre,2,14684,Objective-C
taniarascia,3,20965,VimL
cassidoo,3,15484,Python
anuraghazra,3,82641,Rust
ChrisTitusTech,0,67486,C
sorrycc,2,42013,Rust
danielmiessler,0,125682,VimL
goodfeli,1,8407,TeX
unclebob,0,5602,C
mustafacagri,3,883,HTML
unknwon,0,59159,Go
tannerlinsley,3,2883,JavaScript
Kwynto,0,1390,Go
davidfowl,1,20203,Python
schacon,0,7608,C
evanw,0,63347,C
brianyu28,1,371,Rust
Code-Bullet,1,4857,Python
yinwang0,1,2087,Java
fengdu78,1,89991,Jupyter Notebook
bailicangdu,3,86990,JavaScript
acenelio,2,2889,TypeScript
tomnomnom,2,37391,Java
jessfraz,0,22508,C
george0st,0,2642,Java
CoreyMSchafer,1,11936,Jupyter Notebook
PanJiaChen,2,118869,Shell
akitaonrails,0,3412,C
btholt,2,22545,SCSS
tjdevries,0,6869,C
fabpot,0,2373,C
jashkenas,2,78589,Java
jonhoo,0,15306,Rust
abuanwar072,3,31911,Objective-C
mattn,0,30331,C
egoist,3,39149,Rust
knadh,0,39016,C
vbuterin,0,3281,TeX
simonw,3,38309,Rust
draveness,0,16177,C
adamwathan,2,1575,JavaScript
gitdagray,2,10216,Python
bradfitz,0,7344,Go
philipplackner,2,3211,JavaScript
yangshun,3,187787,Shell
soumith,0,18966,C
nicknochnack,1,7757,Jupyter Notebook
hongyangAndroid,2,43808,Java
rakyll,0,32639,Go
angusshire,0,2119,Python
developit,3,68414,JavaScript
rexim,0,2757,C
miguelgrinberg,3,41161,Vim script
mathiasbynens,2,47894,JavaScript
TheCherno,0,18200,C
kevin-powell,2,4359,Nunjucks
jrohitofficial,2,766,Rust
haoel,0,31873,Shell
hakimel,2,96781,JavaScript
BYVoid,0,11467,C
ashishps1,1,88490,Jupyter Notebook
skydoves,3,64146,Java
JohnHammond,0,10039,C
YunaiV,0,60303,C
tqchen,1,3338,HTML
htr-tech,1,24937,JavaScript
bojone,0,20946,C
shanselman,0,4280,PowerShell
bedimcode,2,11594,SCSS
laruence,0,10689,C
ibireme,0,41833,C
easychen,0,76877,C
521xueweihan,0,194218,C
LukeSmithxyz,0,19378,C
robpike,0,4260,Go
BurntSushi,0,104748,C
agentzh,0,914,C
mnielsen,1,19162,TeX
Elfocrash,3,9281,Java
samyk,0,16975,C
KalleHallden,1,4417,Java
bvaughn,3,73447,HTML
topjohnwu,0,68701,C
craftzdog,3,14863,Java
mqyqingfeng,2,33314,JavaScript
iampawan,3,37173,Java
jakearchibald,2,20914,HTML
mrdbourke,1,38844,Jupyter Notebook
jhaddix,0,8692,C
zenorocha,2,53982,Shell
QianMo,2,35608,GLSL
XiaomingX,3,6841,Rust
ChristianLempa,0,16485,PowerShell
shradha-khapra,1,1921,Handlebars
elder-plinius,1,37080,Java
lilianweng,1,5123,SCSS
muan,2,12140,Go
necolas,2,87910,Shell
fouber,2,27660,Java
campusx-official,1,7226,Jupyter Notebook
offensive-security,0,18011,C
jart,0,34994,C
LaurieWired,0,15671,C
amueller,1,22690,TeX
ashishpatel26,1,73183,Jupyter Notebook
PatrickAlphaC,1,3553,Rust
shiftkey,2,8160,PowerShell
noob-hackers,1,20138,PHP
rsc,0,8644,Go
chriscoyier,2,1618,JavaScript
mcollina,2,15960,HTML
munificent,0,23152,C
frontend-joe,2,4302,Svelte
chenshuo,0,21491,C
Snailclimb,1,165061,Java
AllenDowney,1,25251,C
